Time,Temperature Sensor 1 (°F),Rate of Change Sensor 1 (°F/h),Temperature Sensor 2 (°F),Rate of Change Sensor 2 (°F/h),Average Temperature (°F),Moving Average Rate of Change Sensor 1 (°F/h),Moving Average Rate of Change Sensor 2 (°F/h),Average Rate of Change (°F/h)
2024-11-04 17:20:59.844997-05:00,966.48125,-445.49999999998363,1044.0921875,-162.00000000009823,1005.28671875,-227.8125,-247.55625000000327,-303.7500000000409
2024-11-04 17:21:05.942829-05:00,966.14375,-243.00000000006546,1043.6421875,-323.99999999986903,1004.89296875,-230.34375,-248.56874999999673,-283.49999999996726
2024-11-04 17:21:11.976441-05:00,965.5109375,-455.625,1043.3890625,-182.25000000013097,1004.4499999999999,-246.54375000000164,-247.55625000000327,-318.9375000000655
2024-11-04 17:21:17.988848-05:00,965.4828125,-20.249999999950887,1043.0515625,-242.9999999999018,1004.2671875000001,-246.54374999999754,-251.60625000000164,-131.62499999992633
2024-11-04 17:21:24.017614-05:00,965.24375,-172.12500000003274,1042.784375,-192.37500000006548,1004.0140624999999,-242.49374999999918,-249.07500000000164,-182.2500000000491
2024-11-04 17:21:30.053511-05:00,964.8921875,-253.125,1042.5171875,-192.37499999990177,1003.7046875000001,-248.0625,-246.03749999999673,-222.7499999999509
2024-11-04 17:21:36.098974-05:00,964.4140625,-344.24999999998363,1042.334375,-131.62500000013097,1003.37421875,-257.17499999999836,-241.48125000000164,-237.9375000000573
2024-11-04 17:21:42.138723-05:00,964.1046875,-222.75000000003274,1041.9828125,-253.125,1003.0437499999999,-247.55625000000327,-233.3812500000049,-237.93750000001637
2024-11-04 17:21:48.174713-05:00,963.8375,-192.37499999998363,1041.5046875,-344.2499999999018,1002.67109375,-241.48125000000164,-237.4312499999951,-268.3124999999427
2024-11-04 17:21:54.227087-05:00,963.8796875,30.375000000049113,1041.3078125,-141.75000000006548,1002.59375,-230.34375,-229.33124999999836,-55.687500000008185
2024-11-04 17:22:00.293116-05:00,963.4296875,-324.00000000003274,1040.9140625,-283.49999999996726,1002.171875,-225.78750000000082,-223.76250000000164,-303.75
2024-11-04 17:22:06.473301-05:00,963.078125,-253.125,1040.534375,-273.37500000003274,1001.80625,-225.78750000000082,-220.7250000000049,-263.25000000001637
2024-11-04 17:22:12.534819-05:00,962.43125,-465.75000000001637,1040.16875,-263.2499999999345,1001.3,-235.40625,-219.20624999999836,-364.49999999997544
2024-11-04 17:22:18.598954-05:00,961.98125,-323.9999999999509,1039.6484375,-374.62500000003274,1000.81484375,-249.58124999999836,-228.82500000000164,-349.3124999999918
2024-11-04 17:22:24.667575-05:00,961.75625,-162.00000000001637,1039.296875,-253.125,1000.5265625,-237.43124999999918,-224.77500000000327,-207.56250000000819
2024-11-04 17:22:30.719009-05:00,961.390625,-263.25000000001637,1038.846875,-324.00000000003274,1000.11875,-235.91250000000082,-227.30625000000327,-293.62500000002456
2024-11-04 17:22:36.790632-05:00,960.7015625,-496.12499999998363,1038.396875,-324.00000000003274,999.5492187499999,-253.125,-231.86250000000655,-410.0625000000082
2024-11-04 17:22:42.864783-05:00,960.575,-91.12499999998363,1038.14375,-182.24999999996726,999.359375,-256.1624999999967,-238.4437500000049,-136.68749999997544
2024-11-04 17:22:48.950743-05:00,960.29375,-202.5,1037.8625,-202.5,999.078125,-260.71875,-237.43125000000327,-202.5
2024-11-04 17:22:55.044189-05:00,959.815625,-344.2500000000655,1037.553125,-222.75000000003274,998.6843749999999,-262.23750000000246,-243.5062500000049,-283.5000000000491
2024-11-04 17:23:01.145198-05:00,959.196875,-445.49999999998363,1037.1171875,-313.8749999999345,998.15703125,-262.23750000000246,-251.09999999999673,-379.6874999999591
2024-11-04 17:23:07.179072-05:00,958.49375,-506.25,1036.6390625,-344.2500000000655,997.56640625,-275.3999999999992,-252.11250000000655,-425.25000000003274
2024-11-04 17:23:13.352233-05:00,957.6921875,-577.1249999999509,1035.978125,-475.87499999986903,996.8351562500001,-281.4749999999967,-266.79374999999345,-526.49999999991
2024-11-04 17:23:19.405564-05:00,956.890625,-577.1250000000327,1035.4578125,-374.62500000003274,996.17421875,-309.3187500000008,-273.375,-475.87500000003274
2024-11-04 17:23:25.448391-05:00,956.159375,-526.5000000000327,1035.0640625,-283.49999999996726,995.61171875,-327.0375000000008,-277.9312499999951,-405.0
2024-11-04 17:23:31.499197-05:00,955.5265625,-455.625,1034.515625,-394.8750000000655,995.02109375,-337.1625000000008,-288.0562500000033,-425.25000000003274
2024-11-04 17:23:37.560874-05:00,954.9921875,-384.74999999996726,1034.0796875,-313.8749999999345,994.5359375,-339.1875,-297.16874999999345,-349.3124999999509
2024-11-04 17:23:43.625945-05:00,954.7671875,-162.00000000001637,1033.8265625,-182.25000000013097,994.296875,-336.1499999999992,-293.625,-172.12500000007367
2024-11-04 17:23:49.701563-05:00,954.78125,10.125000000016371,1033.64375,-131.62499999996726,994.2125,-326.0249999999992,-282.9937500000033,-60.749999999975444
2024-11-04 17:23:55.789269-05:00,954.640625,-101.25,1033.475,-121.50000000003273,994.0578125,-332.60625000000164,-281.98125000000164,-111.37500000001637
2024-11-04 17:24:01.873773-05:00,954.5984375,-30.374999999967258,1033.3625,-80.99999999996726,993.98046875,-317.92499999999836,-271.85625000000164,-55.68749999996726
2024-11-04 17:24:07.962986-05:00,954.415625,-131.6250000000491,1033.3203125,-30.374999999967258,993.86796875,-311.8500000000008,-259.70624999999836,-81.00000000000819
2024-11-04 17:24:14.043165-05:00,954.3453125,-50.625,1032.9828125,-243.00000000006546,993.6640625,-291.09375,-258.6937500000049,-146.81250000003274
2024-11-04 17:24:20.234663-05:00,954.246875,-70.87499999995089,1032.7578125,-161.99999999993452,993.50234375,-278.4375,-248.0625,-116.4374999999427
2024-11-04 17:24:26.323045-05:00,953.88125,-263.25000000001637,1032.6734375,-60.749999999934516,993.27734375,-283.5,-238.44374999999673,-161.99999999997544
2024-11-04 17:24:32.395315-05:00,953.54375,-242.99999999998363,1032.4484375,-162.00000000009823,992.99609375,-282.48749999999836,-230.34375,-202.50000000004093
2024-11-04 17:24:38.481502-05:00,953.5296875,-10.125000000016371,1032.2234375,-161.99999999993452,992.8765625000001,-258.1875,-222.2437499999951,-86.06249999997544
2024-11-04 17:24:44.582683-05:00,953.2625,-192.37499999998363,1031.95625,-192.37500000006548,992.609375,-263.25,-222.75,-192.37500000002456
2024-11-04 17:24:50.698920-05:00,953.009375,-182.2500000000491,1031.9140625,-30.374999999967258,992.46171875,-262.23750000000246,-214.14374999999836,-106.31250000000819
2024-11-04 17:24:56.802881-05:00,952.9671875,-30.374999999967258,1031.5765625,-243.00000000006546,992.2718749999999,-246.54374999999754,-215.15625,-136.68750000001637
2024-11-04 17:25:02.911230-05:00,952.7421875,-162.00000000001637,1031.3515625,-161.99999999993452,992.046875,-232.36874999999918,-207.5625,-161.99999999997544
2024-11-04 17:25:09.002228-05:00,952.2921875,-324.00000000003274,1030.9859375,-263.2499999999345,991.6390625,-223.25625000000082,-203.51249999999345,-293.62499999998363
2024-11-04 17:25:15.113646-05:00,951.996875,-212.62499999993452,1030.6484375,-243.00000000006546,991.32265625,-205.03125,-191.86875000000327,-227.8125
2024-11-04 17:25:21.337578-05:00,951.6734375,-232.87500000004908,1030.296875,-253.125,990.98515625,-187.81875000000082,-185.79375000000164,-243.00000000002456
2024-11-04 17:25:27.451678-05:00,951.3359375,-242.99999999998363,1030.015625,-202.5,990.67578125,-173.64374999999836,-181.74375000000327,-222.74999999999181
2024-11-04 17:25:33.559323-05:00,951.0265625,-222.75000000003274,1029.6640625,-253.125,990.3453125,-162.0,-174.65625,-237.93750000001637
2024-11-04 17:25:39.685534-05:00,950.7453125,-202.5,1029.3546875,-222.75000000003274,990.05,-152.88750000000164,-170.1000000000049,-212.62500000001637
